No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
69,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pemantauan Khusus
70,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,2.724.036.581,Pengembangan
71,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,Pemantauan Khusus
72,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pemantauan Khusus
73,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan
74,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pengembangan
75,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
76,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus
77,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pengembangan
78,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pengembangan
79,IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan
80,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama
81,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pemantauan Khusus
82,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus
83,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan
84,ARCI,Archi Indonesia Tbk.,28 Jun 2021,25.235.000.000,Pengembangan
85,NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan
86,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan
87,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan
88,OBMD,OBM Drilchem Tbk.,08 Des 2021,805.992.931,Pengembangan
89,AVIA,Avia Avian Tbk.,08 Des 2021,61.953.555.600,Utama
90,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,1.700.014.594,Pengembangan
91,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,1.500.000.000,Pemantauan Khusus
92,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Pengembangan
93,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan
94,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,1.597.398.988,Akselerasi
95,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama
96,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,1.075.027.288,Pengembangan
97,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan
98,SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.284.500.000,Pengembangan
99,BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan
100,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan
101,PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pemantauan Khusus
102,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama
103,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama
104,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Utama
105,ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan
106,EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,16.180.232.675,Pengembangan
107,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,853.423.236,Pemantauan Khusus
108,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Utama
109,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama
110,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan
111,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan
112,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan
113,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan
