No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
127,OLIV,Oscar Mitra Sukses Sejahtera T,17 Mei 2022,1.900.073.314,Akselerasi
128,SWID,Saraswanti Indoland Developmen,07 Jul 2022,5.385.019.201,Pengembangan
129,RAFI,Sari Kreasi Boga Tbk.,05 Agt 2022,3.128.140.475,Pemantauan Khusus
130,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,1.307.530.330,Akselerasi
131,TOOL,Rohartindo Nusantara Luas Tbk.,09 Agt 2022,2.050.020.320,Pengembangan
132,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,1.250.023.298,Pengembangan
133,ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,8.496.000.000,Pengembangan
134,ISAP,Isra Presisi Indonesia Tbk.,09 Des 2022,4.020.224.713,Akselerasi
135,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,1.030.080.995,Akselerasi
136,FUTR,Futura Energi Global Tbk.,27 Feb 2023,6.635.551.959,Pengembangan
137,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,2.468.293.056,Akselerasi
138,TYRE,King Tire Indonesia Tbk.,08 Mei 2023,3.480.581.727,Pengembangan
139,VKTR,VKTR Teknologi Mobilitas Tbk.,19 Jun 2023,43.750.000.000,Pengembangan
140,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,83.345.000.000,Pengembangan
141,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,5.187.500.000,Utama
142,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,650.008.775,Akselerasi
143,BABY,Multitrend Indo Tbk.,07 Sep 2023,2.616.226.706,Pengembangan
144,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,1.006.080.721,Akselerasi
145,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,1.000.000.000,Pengembangan
146,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,6.666.666.700,Pengembangan
147,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,1.923.667.426,Akselerasi
148,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,4.593.005.014,Pengembangan
149,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,1.125.006.757,Pengembangan
150,SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,800.000.000,Akselerasi
151,PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,2.742.123.779,Pengembangan
152,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,19.486.760.000,Utama
153,DOSS,Global Sukses Digital Tbk.,07 Agt 2024,1.725.000.000,Pengembangan
154,VERN,Verona Indah Pictures Tbk.,08 Okt 2024,4.765.648.183,Pengembangan
155,MDIY,Daya Intiguna Yasa Tbk.,19 Des 2024,25.190.392.000,Utama
156,MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,1.035.132.500,Pengembangan
157,PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,5.800.000.000,Pengembangan
158,KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,2.075.800.000,Pengembangan
159,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,2.425.354.179,Pemantauan Khusus
160,RAAM,Tripar Multivision Plus Tbk.,08 Mei 2023,6.813.620.000,Utama
161,DOOH,Era Media Sejahtera Tbk.,08 Mei 2023,7.738.891.036,Pemantauan Khusus
162,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,3.469.209.656,Pengembangan
163,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,2.898.261.693,Pengembangan
