No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
68,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
69,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
70,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
71,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
72,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
73,ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pemantauan Khusus
74,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pengembangan
75,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
76,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pengembangan
77,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
78,WINR,Winner Nusantara Jaya Tbk.,25 Apr 2022,5.235.316.030,Pemantauan Khusus
79,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan
80,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan
81,VAST,Vastland Indonesia Tbk.,08 Feb 2023,3.055.722.936,Pengembangan
82,SAGE,Saptausaha Gemilangindah Tbk.,08 Mar 2023,8.033.527.260,Pemantauan Khusus
83,RELF,Graha Mitra Asia Tbk.,22 Jun 2023,5.727.832.195,Akselerasi
84,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,1.040.740.800,Akselerasi
85,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,7.375.720.674,Pengembangan
86,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,1.460.007.754,Akselerasi
87,KOCI,Kokoh Exa Nusantara Tbk.,07 Okt 2023,4.415.602.251,Pengembangan
88,KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan
89,CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama
90,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pengembangan
91,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,681.823.317,Pengembangan
92,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
