No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
69,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,36.897.901.455,Utama
70,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,650.000.000,Pemantauan Khusus
71,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,8.120.249.598,Pengembangan
72,COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,3.559.455.924,Pengembangan
73,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
74,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,5.624.999.999,Utama
75,PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Utama
76,AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
77,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
78,CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,2.050.000.000,Utama
79,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,9.468.359.000,Pengembangan
80,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
81,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,5.737.848.882,Pengembangan
82,PNGO,Pinago Utama Tbk.,31 Agt 2020,781.250.000,Utama
83,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
84,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,2.162.547.122,Pemantauan Khusus
85,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
86,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.588.300.000,Pemantauan Khusus
87,WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,12.941.176.500,Pemantauan Khusus
88,TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,19.852.540.000,Utama
89,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,781.250.000,Akselerasi
90,OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.056.563,Pengembangan
