No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
70,SEMA,Semacom Integrated Tbk.,10 Jan 2022,1.347.258.842,Pengembangan
71,SICO,Sigma Energy Compressindo Tbk.,08 Apr 2022,910.077.764,Pengembangan
72,COAL,Black Diamond Resources Tbk.,07 Sep 2022,6.250.000.000,Pengembangan
73,SUNI,Sunindo Pratama Tbk.,09 Jan 2023,2.500.000.000,Utama
74,CBRE,Cakra Buana Resources Energi T,09 Jan 2023,4.538.067.441,Pengembangan
75,HILL,Hillcon Tbk.,01 Mar 2023,14.741.500.000,Utama
76,CUAN,Petrindo Jaya Kreasi Tbk.,08 Mar 2023,112.418.900.000,Utama
77,MAHA,Mandiri Herindo Adiperkasa Tbk,25 Jul 2023,16.666.000.000,Utama
78,RMKO,Royaltama Mulia Kontraktorindo,31 Jul 2023,1.250.000.000,Pengembangan
79,HUMI,Humpuss Maritim Internasional ,09 Agt 2023,18.047.177.394,Pengembangan
80,RGAS,Kian Santang Muliatama Tbk.,08 Nov 2023,1.459.234.110,Pengembangan
81,ALII,Ancara Logistics Indonesia Tbk,07 Feb 2024,15.825.800.000,Utama
82,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,3.250.000.000,Pengembangan
83,ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,6.199.577.693,Pengembangan
84,BOAT,Newport Marine Services Tbk.,12 Nov 2024,3.501.680.000,Pengembangan
85,AADI,Adaro Andalan Indonesia Tbk.,05 Des 2024,7.786.891.760,Utama
86,RATU,Raharja Energi Cepu Tbk.,08 Jan 2025,2.715.053.800,Pengembangan
87,PSAT,Pancaran Samudera Transport Tb,08 Jul 2025,1.482.353.000,Utama
88,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,3.440.455.528,Pengembangan
89,CGAS,Citra Nusantara Gemilang Tbk.,08 Jan 2024,1.771.499.039,Pengembangan
90,ADRO,Alamtri Resources Indonesia Tb,16 Jul 2008,29.389.689.400,Utama
91,AIMS,Artha Mahiya Investama Tbk.,20 Jul 2001,220.000.000,Pengembangan
